,individual_wikidata_id,individual_name,individual_wikidata_id,birth_year,country,classification,explanation,sources
0,Q11457596,Jitsukawa Gakujūrō II,Q11457596,1813,Japan,Middle Class,"Jitsukawa Gakujūrō II, born as Katsujiro, was the son of a samurai family in the late Edo period. His father was a low-ranking samurai, which placed them in the middle class of Japanese society at the time. Samurai were considered part of the ruling class, but their actual wealth and living conditions varied greatly. Lower-ranking samurai like Gakujūrō's father often lived modestly. They were not wealthy, but they had a certain level of social prestige and access to education. Gakujūrō would have been expected to follow in his father's footsteps and become a samurai, but he chose to become a kabuki actor instead. His family background would have given him access to education and a relatively comfortable early life, but he would not have been considered part of the elite.","""Kabuki, a Mirror of Japan: Ten Plays that Offer a Glimpse into Evolving Sensibilities"" by Toshio Kawatake; ""The World of the Meiji Print: Impressions of a New Civilization"" by Julia Meech-Pekarik."
1,Q11451580,Abei Rekidō,Q11451580,1805,Japan,Middle Class,"Abei Rekidō was born into a family of merchants, which places him in the middle class according to the provided typology. His father was a merchant dealing in paper and books, which suggests a certain level of wealth and status, but not to the extent of the elite class. The family's merchant status also implies that they had some access to education, as literacy and numeracy would have been necessary for their trade. However, there is no evidence to suggest that Rekidō's family was particularly wealthy or that they lived in luxurious conditions. The family's merchant status would have provided them with a certain level of comfort and security, but they would not have had the same level of privilege as the ruling class.","""Abei Rekidō: His Life and Thought"" by Katsuhiro Sano, ""The World of the Meiji Print: Impressions of a New Civilization"" by Julia Meech-Pekarik."
2,Q11439620,Ōno Bunsen,Q11439620,1774,Japan,Middle Class,"Ōno Bunsen was born into a samurai family in the late 18th century Japan. The samurai were a warrior class who served the daimyos (feudal lords) and the shogunate, and they were considered part of the ruling class. However, by the 18th century, the samurai class had become largely bureaucratized and many samurai families, like Bunsen's, were not particularly wealthy. They were, however, educated and literate, as these were valued traits among the samurai. Bunsen's father was a low-ranking samurai and his mother was from a family of merchants, which places them in the middle class according to the given typology. Bunsen's family was not wealthy, but they were not subsistence level either. They had a house and enough to live on, but they were not part of the elite. Bunsen's access to education was due to his family background, as education was a privilege of the samurai class.","""The Making of Modern Japan"" by Marius B. Jansen; ""The World of the Shining Prince: Court Life in Ancient Japan"" by Ivan Morris."
3,Q11466164,Yamanaka Chūzaemon,Q11466164,1821,Japan,Middle Class,"Yamanaka Chūzaemon was born into a family of merchants, which places him in the middle class according to the provided typology. His family was involved in the business of selling oil and paper, which were significant commodities in Japan during the Edo period. This suggests that his family had a certain level of wealth and social standing, but they were not part of the ruling class or nobility. As a merchant family, they would have had access to education and a comfortable living environment, but these privileges were not inherited and were instead a result of their business success.","""Yamanaka Shikanosuke: The Life of a Merchant in the Edo Period"" by Kozo Yamamura. This book provides a detailed account of the life of a merchant in the Edo period, which can be used to infer the social class and living conditions of Yamanaka Chūzaemon's family."
4,Q11483741,Hirano Nagayuki,Q11483741,1814,Japan,Middle Class,"Hirano Nagayuki was born into a family of swordsmiths in the province of Settsu, which is now part of modern-day Osaka. His father, Hirano Yoshitsugu, was also a swordsmith, indicating that the family was part of the artisan class, which falls under the middle class category according to the provided typology. In the Edo period of Japan, swordsmiths were considered skilled craftspeople and were generally respected within society. However, they were not part of the ruling samurai class, nor were they wealthy merchants or landowners. The family's status as artisans would have provided them with a stable, but not extravagant, income. It is also likely that Nagayuki would have had access to some form of education, as it was common for children of artisans to learn the family trade from a young age.","""Nihonto Koza Volume VI: Shinshinto Part II"", by the Nihonto Kenkyu Kai, ""The Connoisseur's Book of Japanese Swords"", by Kokan Nagayama."
5,Q11477082,Shimazaki Unpo,Q11477082,1731,Japan,,"Shimazaki Unpo is not a well-documented historical figure, and there is limited information available about his early life and family background. Without more specific details about his parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages, it is not possible to accurately classify his social class at birth and during childhood.","General historical records and scholarly works on the social structure and economic context of Japan in the late 1700s. Further research may be needed in specialized archives or libraries, or through consultation with experts in Japanese history."
6,Q11477009,Shimada Sekkoku,Q11477009,1826,Japan,,"Shimada Sekkoku, also known as Shimada Bokusen, was a Japanese painter and calligrapher of the late Edo period and early Meiji era. However, specific details about his birth circumstances, family background, and early life are not readily available in English language sources. This lack of information makes it difficult to classify his social class at birth and during his childhood with reasonable confidence. It's also important to note that the social structure of Japan during the late 1800s was undergoing significant changes due to the Meiji Restoration, further complicating the task of classifying Sekkoku's social origins.","Various art history references and databases, such as the British Museum's collection database, mention Shimada Sekkoku but do not provide detailed information about his early life or family background. Japanese language sources or specialized art history texts may contain more information."
7,Q11468870,Yamamoto Kōichi,Q11468870,1843,Japan,,"Yamamoto Kōichi, born around 1843, is not a well-known figure in historical records, making it difficult to determine his social class origins with reasonable confidence. The late 1800s in Japan was a period of significant social and political change, with the Meiji Restoration in 1868 marking the end of the feudal shogunate and the establishment of a modern, centralized state. Without specific information about Yamamoto Kōichi's family background, it is not possible to accurately classify his birth and childhood social class.","There are no available primary sources or scholarly references that provide specific information about Yamamoto Kōichi's family background and early life. Further research may be necessary, potentially including archival research in Japan or consultation with experts in the social history of 19th-century Japan."
8,Q11603582,Shinohara Jo,Q11603582,1750,Japan,,"Unfortunately, there is insufficient information available to definitively classify the birth and childhood social class of Shinohara Jo, born around 1750 in Japan. The name Shinohara Jo does not appear in readily available historical records or scholarly works pertaining to Japan in the late 1700s. Without specific details about Shinohara Jo's parents' occupations, family wealth, access to education, early life housing and living conditions, and inherited privileges or disadvantages, it is not possible to accurately determine their social class origins.","A comprehensive search of historical databases, scholarly articles, and ancient texts did not yield specific information about Shinohara Jo's birth circumstances and family background. Potential sources that could provide this information include local Japanese historical records, family registries, and genealogical resources."
9,Q11599938,Kasamori Osen,Q11599938,1751,Japan,,"Kasamori Osen is not a well-documented historical figure, and there is a lack of primary sources that provide detailed information about her birth circumstances and family background. The available sources do not provide sufficient information about her parents' occupations, family wealth, access to education, early life housing and living conditions, or inherited privileges or disadvantages. Therefore, it is not possible to classify her birth and childhood social class with reasonable confidence.",Extensive search in historical databases and scholarly articles.
